File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,0,807.1030595085158,797.8591754930555,0.0
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,1,855.3127237962481,805.4012795581075,48.79605582896963
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,2,899.5264875016568,811.6656353335542,44.65533623520363
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,3,944.4156753543416,819.1384813015795,45.50695125951044
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,4,975.4821726598171,824.146892391057,31.46762521183192
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,5,985.3478705853299,825.9361840269819,10.026642514613659
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,6,989.9357937398343,827.3938324412858,4.8139150149706165
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,7,1002.0255423809563,829.9914277204275,12.365659037824509
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,8,1019.3231029013224,834.2758695966377,17.820270540773276
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,9,1038.3353738893175,840.3671149993922,19.964210945527938
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,10,1060.1118837832462,846.675309380843,22.67178201012314
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,11,1082.5797122984586,853.2483118452327,23.409563848689398
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,12,1104.9287670359306,858.7540855141414,23.01724986508525
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,13,1123.3851901616886,863.8425961615802,19.145038396569277
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,14,1134.7994003593296,867.0934429032184,11.868116909331185
KOTrials_Set10_30dA_8.12.25.avi,99.0,True,0.9,100.0,0.0,15,1137.085678393529,867.4202136058934,2.3095121436764563
