File,Location_Thresh,Use_Window,Window_Weight,Window_Size,Start_Frame,Frame,X,Y,Distance_px
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,0,669.8621790233295,705.6796823852258,0.0
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,1,658.79274220176,713.9566622964843,13.821751987287884
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,2,649.2603584389228,720.863949279138,11.771871289762673
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,3,639.3892561147834,726.8785238435596,11.55914219501684
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,4,631.0400872747864,732.1710481311165,9.885314039177352
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,5,623.7170757510382,736.3846946407617,8.448746338078411
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,6,618.3738896139614,739.9593306101771,6.428659301074209
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,7,612.3342136379497,743.2865294061638,6.895501267002197
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,8,606.906785341523,745.9345491233106,6.038955732181779
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,9,603.4881556278341,748.6293203726652,4.353024374577412
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,10,599.4315827356403,751.0880369160745,4.743529347491822
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,11,596.8117622639195,752.9622077347962,3.221176114681565
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,12,595.6258168180069,754.7393861654572,2.136546225825121
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,13,594.4518474914059,756.4075450765322,2.039842673442954
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,14,591.9372777519221,757.1880747552979,2.632923765353217
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,15,590.9241331119522,758.1073545433911,1.3680414431941044
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,16,588.9649870803615,758.840346212059,2.091776747034417
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,17,588.193635883412,759.8269041811917,1.2523095845256578
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,18,587.3907178994957,760.7427424371616,1.217964285188248
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,19,585.6904235526437,761.4559878454941,1.8438329312723425
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,20,585.5846520408794,761.6374168081242,0.21000971687502656
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,21,584.8607288077125,762.3658254829472,1.0269586384447933
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,22,585.0983143876513,762.5547371898911,0.303536720703263
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,23,584.9847395768682,763.4110382742499,0.8638001995360728
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,24,584.5134279656062,763.3543640604476,0.4747068584089202
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,25,585.0383770199252,763.4934555793865,0.5430634956164377
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,26,585.1464414146595,763.4846675638411,0.10842113551577022
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,27,585.1632675641372,763.5065793395145,0.02762689304655475
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,28,585.3804090617314,764.3890817006138,0.9088238813562048
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,29,585.3192103645583,764.3785854651185,0.06209228209086129
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,30,585.663201881402,764.4312192018607,0.3479949337329942
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,31,586.4661375852772,764.4244772690793,0.8029640080447674
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,32,585.3723052695083,764.2266802347334,1.1115722206930636
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,33,584.3726790319224,764.209585181161,0.9997724019629184
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,34,585.0531563586143,764.4738662975984,0.7299958223490969
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,35,585.9246839138954,764.4622175044354,0.8716054003942315
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,36,585.1932394906829,764.2063436206937,0.7749079872021443
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,37,584.0930775636729,764.182823592503,1.1004133120644053
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,38,584.7696701880595,764.4804963120434,0.7391796989454065
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,39,585.6882660945042,764.4903742031272,0.9186490146237628
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,40,586.8617670070894,764.4870974479053,1.1735054874021575
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,41,587.6739357985749,764.5254548920879,0.8130740675899641
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,42,588.7008036688329,765.4129965655222,1.3572722074259502
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,43,589.6909474887956,765.4007709329742,0.9902192940462556
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,44,590.4572443346711,765.391141670443,0.7663573439954269
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,45,589.0545978922635,765.1208341592336,1.4284548270824293
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,46,589.1406327591615,765.3283795431772,0.22467105892495698
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,47,589.2750445451126,765.3491602348013,0.13600869585044476
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,48,589.404348686325,765.3732808430029,0.13153465199214384
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,49,589.4662533091539,765.3615820101132,0.06300035728925242
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,50,588.2210678724784,765.0962230304501,1.2731465586477066
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,51,588.7552318042935,765.3886412218259,0.608965930655926
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,52,589.8479454830657,765.3538680061552,1.093266829417166
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,53,590.5792988023802,765.3892710804038,0.7322097072141297
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,54,590.0268168981713,765.0978408239013,0.6246341720426429
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,55,590.0492894851167,765.306548355951,0.2099139135415068
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,56,590.0567847002052,765.2711517435546,0.03618146512188016
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,57,590.0715086912788,765.2697840390613,0.014787377344139792
KOTrials_Set10_24hrB_7.8.25.avi,99.0,True,0.9,100.0,0.0,58,590.3212444088557,765.3323842184209,0.2574620575725445
